Player Name,Position,Height (inches),Weight (pounds),Draft Round,Draft Pick,College PPG,College RPG,College APG,College Shooting %,College 3PT %,College FT %,Rookie Year PPG,Rookie Year RPG,Rookie Year APG,Rookie FG%,Rookie 3PT%,Rookie FT%,Success
Hanno Mottola,Center-Forward,83,247,2,40,12.4,4.6,1.2,50,33.3,77.4,4.37,2.38,0.34,44.4,0,81.1,0
Harold Miner,Guard,77,210,1,12,23.5,5.4,1.8,45.3,36.7,81.4,10.27,2.01,1,47.5,33.3,76.2,0
Harrison Barnes,Forward,80,225,1,7,16.3,5.5,1.3,43,34.9,73.4,9.23,4.11,1.21,43.9,35.9,75.8,0
Harvey Grant,Forward,81,225,1,12,15.2,8.2,1.1,53.7,20,71.3,5.58,2.3,1.11,46.4,0,59.6,0
Hassan Adams,Forward,76,220,2,54,14,5.4,2,49.9,31.1,70.4,2.85,1.26,0.21,55.6,0,66.7,0
Hassan Whiteside,Center,84,265,2,33,13.1,8.9,0.3,52.4,60,58.8,0,0,0,0,0,0,0
Hassani Gravett,Guard,74,187,,,7.2,3,2.4,38.5,33.9,71.4,6.25,2.62,2.5,47.4,42.3,75,0
Haywoode Workman,Guard,74,180,2,49,17.7,5.2,4.4,42.5,31,78.8,1,0.5,0.33,66.7,0,100,0
Henry Ellenson,Forward-Center,82,240,1,18,17,9.7,1.8,44.6,28.8,74.9,3.16,2.16,0.37,35.9,28.6,50,0
Henry Sims,Center-Forward,82,248,Undrafted,Undrafted,4.9,3.2,1.4,47.9,11.8,65.4,2,1,0,66.7,0,0,0
Henry Turner,Guard,79,200,Undrafted,Undrafted,11.7,5.5,1.6,46.7,35.2,67.3,4.33,1.39,0.61,47.5,0,61.5,0
Herbert Jones,Forward,79,206,2,35,5.1,2.7,0.7,51.1,30,50,9.51,3.79,2.14,47.6,33.7,84,0
Hersey Hawkins,Guard,75,200,1,6,24.1,6.5,3.2,53.9,36.2,80.6,15.14,2.85,3.03,45.5,42.8,83.1,0
Hilton Armstrong,Forward-Center,83,235,1,12,4.7,3.9,0.6,56.3,33.3,57.8,3.14,2.66,0.18,54.4,0,59.7,0
Hiram Fuller,Forward,81,240,Undrafted,Undrafted,7.4,6.4,0.4,50.3,9.1,64.9,2,2.75,0.5,37.5,0,33.3,0
Hollis Thompson,Forward,80,206,Undrafted,Undrafted,8.7,4.1,1.1,47.8,44,67.6,5.99,3.21,0.95,46,40.1,71.2,0
Horace Grant,Center,82,245,1,10,13.9,8,1.7,59.8,50,70.4,7.68,5.52,1.1,50.1,0,62.6,0
Hot Rod Williams,Center,83,245,2,45,16.1,7,1.7,54.9,61.5,73.1,14.6,7.86,1.92,48.5,0,74.5,0
Howard Eisley,Guard,74,185,2,30,12.9,3.3,4.3,44.4,44.7,78.4,3.32,1.24,2.26,35.2,25,77.5,0
Howard Nathan,Guard,71,175,Undrafted,Undrafted,10.5,2.5,5.8,40.6,30.2,72.3,2.6,0,0.4,55.6,0,75,0
Howard Wright,Forward,80,220,Undrafted,Undrafted,12.9,6.9,1.6,55.3,0,63,1.25,1.5,0,66.7,0,100,0
Hubert Davis,Guard,77,183,1,20,11.8,1.8,1.3,49.8,43.5,81.9,5.38,1.12,1.66,43.8,31.6,79.6,0
Ian Clark,Guard,75,175,Undrafted,Undrafted,14.4,2.9,2.2,48.4,42.5,81,2.96,0.83,0.65,38.8,35.5,71.4,0
Ian Lockhart,Forward,80,240,Undrafted,Undrafted,7.9,6,0.5,52.1,0,63.2,4,0,0,100,0,100,0
Ignas Brazdeikis,Forward,78,221,2,47,14.8,5.4,0.8,46.2,39.2,77.3,1.89,0.56,0.44,27.3,11.1,80,0
Ike Diogu,Forward,81,250,1,9,21.4,8.8,1.2,57.1,38.7,78.6,7.04,3.32,0.42,52.4,0,81,0
Iman Shumpert,Guard,77,212,1,17,12.7,4.5,4.2,39.6,30.5,73.8,9.54,3.15,2.78,40.1,30.6,79.8,0
Ime Udoka,Guard-Forward,77,220,Undrafted,Undrafted,8.5,4.8,2,37.7,28.3,71.7,2,1.25,0.5,33.3,0,50,0
Immanuel Quickley,Guard,74,190,1,25,10.1,2.9,1.5,40.3,39.7,89.5,11.42,2.14,1.98,39.5,38.9,89.1,0
Ira Newble,Guard-Forward,79,220,Undrafted,Undrafted,8.9,6.4,0.8,54.8,23.5,64.3,2,1.3,0.22,38.2,44.4,50,0
Irving Thomas,Forward,80,225,Undrafted,Undrafted,8.6,4.9,0.7,49.3,0,66.8,1.77,1.19,0.38,34,0,57.1,0
Isaac Okoro,Forward-Guard,77,225,1,5,12.9,4.4,2,51.4,28.6,67.2,9.64,3.07,1.91,42,29,72.6,0
Isaiah Briscoe,Guard,75,215,Undrafted,Undrafted,10.9,5.4,3.7,45.5,22.9,55.5,3.49,1.9,2.23,39.9,32.4,57.7,0
Isaiah Canaan,Guard,72,200,2,34,15.5,2.8,2.9,45,41.9,80.3,4.59,1.09,1,35.6,32.7,72.4,0
Isaiah Hicks,Forward,81,230,Undrafted,Undrafted,7.4,3.6,0.7,57.1,16.7,72.5,4.44,2.28,0.89,45.8,22.2,66.7,0
Isaiah Jackson,Forward,81,205,1,22,3.1,1.7,0.3,35.5,23.1,75,8.25,4.14,0.28,56.3,31.3,68.2,0
Isaiah Joe,Guard,75,165,2,49,15.2,3.4,1.7,39,37.8,82.7,3.73,0.88,0.49,36.1,36.8,75,0
Isaiah Livers,Forward,78,232,2,42,8.3,3.8,0.9,46.5,41.2,85.6,6.37,3,1.11,45.6,42.2,85.7,0
Isaiah Mobley,Forward,80,238,2,49,10.1,7,2,46,36,59.6,2.58,1.67,0.25,42.9,37.5,100,0
Isaiah Morris,Forward,80,229,2,37,8.8,4.5,0.9,48.8,22.2,81.5,2.2,0.48,0.16,45.6,0,75,0
Isaiah Roby,Forward,80,230,2,45,8.1,5.5,1.5,47.6,33.6,70.2,0,0.67,0,0,0,0,0
Isaiah Stewart,Forward-Center,80,250,1,16,6.2,1.8,1.9,36.5,32.5,79.2,7.9,6.66,0.87,55.3,33.3,69.6,0
Isaiah Taylor,Guard,75,170,,,13.6,3.1,4.5,40.4,29.4,79.2,0.75,0.75,0.75,14.3,0,50,0
Isaiah Thomas,Guard,69,185,2,60,16.4,3.5,4,42.6,32.5,71.3,11.52,2.58,4.09,44.8,37.9,83.2,0
